class,error,class1,error1,class2,error2,final_class,final_error
toyshop,0,toyshop,0,toyshop,0,toyshop,0
tractor,0,tractor,0,tractor,0,tractor,0
"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",1,trailer truck,1,truck,0,truck,0
tray,0,tray,0,tray,0,tray,0
trench coat,1,trench coat,1,coat,0,coat,0
"tricycle, trike, velocipede",1,tricycle,0,tricycle,0,tricycle,0
trimaran,0,trimaran,0,trimaran,0,trimaran,0
tripod,0,tripod,0,tripod,0,tripod,0
triumphal arch,1,triumphal arch,1,arch,0,arch,0
"trolleybus, trolley coach, trackless trolley",1,trolleybus,0,trolleybus,0,trolleybus,0
trombone,0,trombone,0,trombone,0,trombone,0
"tub, vat",1,tub,0,tub,0,tub,0
turnstile,0,turnstile,0,turnstile,0,turnstile,0
typewriter keyboard,1,typewriter keyboard,1,keyboard,0,keyboard,0
umbrella,0,umbrella,0,umbrella,0,umbrella,0
"unicycle, monocycle",1,unicycle,0,unicycle,0,unicycle,0
"upright, upright piano",1,upright,0,upright,0,upright,0
"vacuum, vacuum cleaner",1,vacuum,0,vacuum,0,vacuum,0
vase,0,vase,0,vase,0,vase,0
vault,0,vault,0,vault,0,vault,0
velvet,0,velvet,0,velvet,0,velvet,0
vending machine,1,vending machine,1,machine,0,vending,0
vestment,0,vestment,0,vestment,0,vestment,0
viaduct,0,viaduct,0,viaduct,0,viaduct,0
"violin, fiddle",1,violin,0,violin,0,violin,0
volleyball,0,volleyball,0,volleyball,0,volleyball,0
waffle iron,1,waffle iron,1,iron,0,waffle,0
wall clock,1,wall clock,1,clock,0,clock,0
"wallet, billfold, notecase, pocketbook",1,wallet,0,wallet,0,wallet,0
"wardrobe, closet, press",1,wardrobe,0,wardrobe,0,wardrobe,0
"warplane, military plane",1,warplane,0,warplane,0,warplane,0
"washbasin, handbasin, washbowl, lavabo, wash-hand basin",1,washbasin,0,washbasin,0,washbasin,0
"washer, automatic washer, washing machine",1,washer,0,washer,0,washer,0
water bottle,1,water bottle,1,bottle,0,bottle,0
water jug,1,water jug,1,jug,0,jug,0
water tower,1,water tower,1,tower,0,tower,0
whiskey jug,1,whiskey jug,1,jug,0,jug,0
whistle,0,whistle,0,whistle,0,whistle,0
wig,0,wig,0,wig,0,wig,0
window screen,1,window screen,1,screen,0,screen,0
window shade,1,window shade,1,shade,0,shade,0
Windsor tie,1,Windsor tie,1,tie,0,tie,0
wine bottle,1,wine bottle,1,bottle,0,wine,0
wing,0,wing,0,wing,0,wing,0
wok,0,wok,0,wok,0,wok,0
wooden spoon,1,wooden spoon,1,spoon,0,spoon,0
"wool, woolen, woollen",1,wool,0,wool,0,wool,0
"worm fence, snake fence, snake-rail fence, Virginia fence",1,worm fence,1,fence,0,fence,0
wreck,0,wreck,0,wreck,0,wreck,0
yawl,0,yawl,0,yawl,0,yawl,0
yurt,0,yurt,0,yurt,0,yurt,0
"web site, website, internet site, site",1,web site,1,site,0,site,0
comic book,1,comic book,1,book,0,book,0
"crossword puzzle, crossword",1,crossword puzzle,1,puzzle,0,puzzle,0
street sign,1,street sign,1,sign,0,street,0
"traffic light, traffic signal, stoplight",1,traffic light,1,light,0,light,0
"book jacket, dust cover, dust jacket, dust wrapper",1,book jacket,1,jacket,0,jacket,0
menu,0,menu,0,menu,0,menu,0
plate,0,plate,0,plate,0,plate,0
guacamole,0,guacamole,0,guacamole,0,guacamole,0
consomme,0,consomme,0,consomme,0,consomme,0
"hot pot, hotpot",1,hot pot,1,pot,0,hotpot,0
trifle,0,trifle,0,trifle,0,trifle,0
"ice cream, icecream",1,ice cream,1,cream,0,icecream,0
"ice lolly, lolly, lollipop, popsicle",1,ice lolly,1,lolly,0,lolly,0
French loaf,1,French loaf,1,loaf,0,bread,0
"bagel, beigel",1,bagel,0,bagel,0,bagel,0
pretzel,0,pretzel,0,pretzel,0,pretzel,0
cheeseburger,0,cheeseburger,0,cheeseburger,0,cheeseburger,0
"hotdog, hot dog, red hot",1,hotdog,0,hotdog,0,hotdog,0
mashed potato,1,mashed potato,1,potato,0,potato,0
head cabbage,1,head cabbage,1,cabbage,0,cabbage,0
broccoli,0,broccoli,0,broccoli,0,broccoli,0
cauliflower,0,cauliflower,0,cauliflower,0,cauliflower,0
"zucchini, courgette",1,zucchini,0,zucchini,0,zucchini,0
spaghetti squash,1,spaghetti squash,1,squash,0,pumpkin,0
acorn squash,1,acorn squash,1,squash,0,squash,0
butternut squash,1,butternut squash,1,squash,0,pumpkin,0
"cucumber, cuke",1,cucumber,0,cucumber,0,cucumber,0
"artichoke, globe artichoke",1,artichoke,0,artichoke,0,artichoke,0
bell pepper,1,bell pepper,1,pepper,0,pepper,0
cardoon,0,cardoon,0,cardoon,0,cardoon,0
mushroom,0,mushroom,0,mushroom,0,mushroom,0
Granny Smith,1,Granny Smith,1,Smith,0,apple,0
strawberry,0,strawberry,0,strawberry,0,strawberry,0
orange,0,orange,0,orange,0,orange,0
lemon,0,lemon,0,lemon,0,lemon,0
fig,0,fig,0,fig,0,fig,0
"pineapple, ananas",1,pineapple,0,pineapple,0,pineapple,0
banana,0,banana,0,banana,0,banana,0
"jackfruit, jak, jack",1,jackfruit,0,jackfruit,0,jackfruit,0
custard apple,1,custard apple,1,apple,0,apple,0
pomegranate,0,pomegranate,0,pomegranate,0,pomegranate,0
hay,0,hay,0,hay,0,hay,0
carbonara,0,carbonara,0,carbonara,0,carbonara,0
"chocolate sauce, chocolate syrup",1,chocolate sauce,1,sauce,0,chocolate,0
dough,0,dough,0,dough,0,dough,0
"meat loaf, meatloaf",1,meat loaf,1,loaf,0,meat,0
"pizza, pizza pie",1,pizza,0,pizza,0,pizza,0
potpie,0,potpie,0,potpie,0,potpie,0
burrito,0,burrito,0,burrito,0,burrito,0
red wine,1,red wine,1,wine,0,wine,0
espresso,0,espresso,0,espresso,0,espresso,0
cup,0,cup,0,cup,0,cup,0
eggnog,0,eggnog,0,eggnog,0,eggnog,0
alp,0,alp,0,alp,0,alp,0
bubble,0,bubble,0,bubble,0,bubble,0
"cliff, drop, drop-off",1,cliff,0,cliff,0,cliff,0
coral reef,1,coral reef,1,reef,0,reef,0
geyser,0,geyser,0,geyser,0,geyser,0
"lakeside, lakeshore",1,lakeside,0,lakeside,0,lakeside,0
"promontory, headland, head, foreland",1,promontory,0,promontory,0,promontory,0
"sandbar, sand bar",1,sandbar,0,sandbar,0,sandbar,0
"seashore, coast, seacoast, sea-coast",1,seashore,0,seashore,0,seashore,0
"valley, vale",1,valley,0,valley,0,valley,0
volcano,0,volcano,0,volcano,0,volcano,0
"ballplayer, baseball player",1,ballplayer,0,ballplayer,0,ballplayer,0
"groom, bridegroom",1,groom,0,groom,0,groom,0
scuba diver,1,scuba diver,1,diver,0,diver,0
rapeseed,0,rapeseed,0,rapeseed,0,rapeseed,0
daisy,0,daisy,0,daisy,0,daisy,0
"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",1,yellow lady's slipper,1,slipper,0,flower,0
corn,0,corn,0,corn,0,corn,0
acorn,0,acorn,0,acorn,0,acorn,0
"hip, rose hip, rosehip",1,hip,0,hip,0,hip,0
"buckeye, horse chestnut, conker",1,buckeye,0,buckeye,0,buckeye,0
coral fungus,1,coral fungus,1,fungus,0,fungus,0
agaric,1,agaric,1,agaric,1,mushroom,0
gyromitra,1,gyromitra,1,gyromitra,1,mushroom,0
"stinkhorn, carrion fungus",1,stinkhorn,0,stinkhorn,0,stinkhorn,0
earthstar,1,earthstar,1,earthstar,1,mushroom,0
"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",1,hen-of-the-woods,1,hen-of-the-woods,1,mushroom,0
bolete,0,bolete,0,bolete,0,bolete,0
"ear, spike, capitulum",1,ear,0,ear,0,ear,0
"toilet tissue, toilet paper, bathroom tissue",1,toilet tissue,1,tissue,0,tissue,0
